item_category_name,item_category_id,en_category
PC - ¬¤¬Ñ¬â¬ß¬Ú¬ä¬å¬â¬í/¬¯¬Ñ¬å¬ê¬ß¬Ú¬Ü¬Ú,0,PC - Headsets / Headphones
¬¡¬Ü¬ã¬Ö¬ã¬ã¬å¬Ñ¬â¬í - PS2,1,Accessories - PS2
¬¡¬Ü¬ã¬Ö¬ã¬ã¬å¬Ñ¬â¬í - PS3,2,Accessories - PS3
¬¡¬Ü¬ã¬Ö¬ã¬ã¬å¬Ñ¬â¬í - PS4,3,Accessories - PS4
¬¡¬Ü¬ã¬Ö¬ã¬ã¬å¬Ñ¬â¬í - PSP,4,Accessories - PSP
¬¡¬Ü¬ã¬Ö¬ã¬ã¬å¬Ñ¬â¬í - PSVita,5,Accessories - PSVita
¬¡¬Ü¬ã¬Ö¬ã¬ã¬å¬Ñ¬â¬í - XBOX 360,6,Accessories - XBOX 360
¬¡¬Ü¬ã¬Ö¬ã¬ã¬å¬Ñ¬â¬í - XBOX ONE,7,Accessories - XBOX ONE
¬¢¬Ú¬Ý¬Ö¬ä¬í (¬¸¬Ú¬æ¬â¬Ñ),8,Tickets (figure)
¬¥¬à¬ã¬ä¬Ñ¬Ó¬Ü¬Ñ ¬ä¬à¬Ó¬Ñ¬â¬Ñ,9,Delivery of goods
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - PS2,10,Game Consoles - PS2
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - PS3,11,Game Consoles - PS3
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - PS4,12,Game Consoles - PS4
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - PSP,13,Game Consoles - PSP
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - PSVita,14,Game Consoles - PSVita
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - XBOX 360,15,Game Consoles - XBOX 360
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - XBOX ONE,16,Game Consoles - XBOX ONE
¬ª¬Ô¬â¬à¬Ó¬í¬Ö ¬Ü¬à¬ß¬ã¬à¬Ý¬Ú - ¬±¬â¬à¬é¬Ú¬Ö,17,Game Consoles - Other
¬ª¬Ô¬â¬í - PS2,18,Games - PS2
¬ª¬Ô¬â¬í - PS3,19,Games - PS3
¬ª¬Ô¬â¬í - PS4,20,Games - PS4
¬ª¬Ô¬â¬í - PSP,21,Games - PSP
¬ª¬Ô¬â¬í - PSVita,22,Games - PSVita
¬ª¬Ô¬â¬í - XBOX 360,23,Games - XBOX 360
¬ª¬Ô¬â¬í - XBOX ONE,24,Games - XBOX ONE
